"piece_desc","imgng_dev","inlne_proc","finishing","font_req","stock_desc","stock_size","stock_ornt","stock_p_id","stock_stat","filename","pg_in_file","final_qty","addl_instr","rmng_stock","vrsn_num"
"","","","","","","","","","","000000-WACHD - FRC-V11-060612","","13805","","","06"
"","","","","","","","","","","000000-WACHD - FRC-V12-060612","","1571","","","06"
"","","","","","","","","","","000000-WACHD - FRC-V11-060712","","955","","","06"
"","","","","","","","","","","000000-WACHD - FRC-V12-060712","","373","","","06"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","WF-HY0212","Available in ProMail","","","","","","06"
"","","","","","","","","","","000000-WACHD - FRC-V08-060612","","36664","","","05"
"","","","","","","","","","","000000-WACHD - FRC-V09-060612","","7262","","","05"
"","","","","","","","","","","000000-WACHD - FRC-V10-060612","","2848","","","05"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","WF-FD0212","Available in ProMail","","","","","","05"
"","","","","","","","","","","000000-WACHD - FRC-V07-060612","","268","","","04"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","WF-CD0212","Available in ProMail","","","","","","04"
"","","","","","","","","","","000000-WACHD - POB-V05-060612","","174","","","03"
"","","","","","","","","","","000000-WACHD - POB-V06-060612","","43","","","03"
"","","","","","","","","","","000000-WACHD - POB-V05-060712","","9","","","03"
"","","","","","","","","","","000000-WACHD - POB-V06-060712","","5","","","03"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","ASC-HY0212","Available in ProMail","","","","","","03"
"","","","","","","","","","","000000-WACHD - FRC-V02-060612","","244","","","02"
"","","","","","","","","","","000000-WACHD - POB-V03-060612","","198","","","02"
"","","","","","","","","","","000000-WACHD - POB-V04-060612","","74","","","02"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","ASC-FD0212","Available in ProMail","","","","","","02"
"","","","","","","","","","","000000-WACHD - POB-V01-060612","","4","","","01"
"Letter","Digimaster","None","Folds to 8.5x11 in Bindery","","Printed Shell","11 x 17","Landscape - Single Sided","ASC-CD0212","Available in ProMail","","","","","","01"
"","","","","","","","","","","000000-WACHD - FRC-V07-060612","","268","","","7"
"","","","","","","","","","","000000-WACHD - POB-V01-060612","","4","","","7"
"CD Form","Digimaster","None","None","","60lb White","8.5 x 11","Portrait - Single Sided","CDigiAccent60#","Not Ordered from ProMail","","","","","","7"
"","","","","","","","","","","V01 - Samples","","10","","","01"
"","","","","","","","","","","V02 - Samples","","20","","","02"
"","","","","","","","","","","V03 - Samples","","10","","","02"
"","","","","","","","","","","V04 - Samples","","10","","","02"
"","","","","","","","","","","V05 - Samples","","30","","","03"
"","","","","","","","","","","V06 - Samples","","30","","","03"
"","","","","","","","","","","V07 - Samples","","10","","","04"
"","","","","","","","","","","V08 - Samples","","20","","","05"
"","","","","","","","","","","V09 - Samples","","10","","","05"
"","","","","","","","","","","V10 - Samples","","10","","","05"
"","","","","","","","","","","V11 - Samples","","30","","","06"
"","","","","","","","","","","V12 - Samples","","30","","","06"
